startTime,endTime,latency,operation,recordCount
2024-07-29 21:49:45.044343,2024-07-29 21:49:45.213180,0.169,anonymization,100
2024-07-29 21:49:45.214418,2024-07-29 21:49:45.730988,0.516,saving,100
2024-07-29 21:50:15.809498,2024-07-29 21:50:15.845294,0.036,anonymization,100
2024-07-29 21:50:15.845525,2024-07-29 21:50:16.233448,0.388,saving,100
2024-07-29 21:50:46.257667,2024-07-29 21:50:46.278556,0.021,anonymization,100
2024-07-29 21:50:46.278732,2024-07-29 21:50:46.582778,0.304,saving,100
2024-07-29 21:51:16.606662,2024-07-29 21:51:16.619906,0.013,anonymization,100
2024-07-29 21:51:16.620082,2024-07-29 21:51:16.944051,0.324,saving,100
2024-07-29 21:51:46.968946,2024-07-29 21:51:46.978021,0.010,anonymization,100
2024-07-29 21:51:46.978175,2024-07-29 21:51:47.291475,0.313,saving,100
2024-07-29 21:52:17.314245,2024-07-29 21:52:17.325928,0.011,anonymization,100
2024-07-29 21:52:17.326083,2024-07-29 21:52:17.626380,0.300,saving,100
2024-07-29 21:52:47.647973,2024-07-29 21:52:47.655267,0.008,anonymization,100
2024-07-29 21:52:47.655409,2024-07-29 21:52:47.897466,0.242,saving,100
2024-07-29 21:53:17.919269,2024-07-29 21:53:17.927810,0.008,anonymization,100
2024-07-29 21:53:17.927950,2024-07-29 21:53:18.171783,0.244,saving,100
2024-07-29 21:53:48.194656,2024-07-29 21:53:48.203193,0.009,anonymization,100
2024-07-29 21:53:48.203381,2024-07-29 21:53:48.442811,0.239,saving,100
2024-07-29 21:54:18.466396,2024-07-29 21:54:18.477128,0.011,anonymization,100
2024-07-29 21:54:18.477265,2024-07-29 21:54:18.743322,0.266,saving,100
2024-07-29 21:54:48.770717,2024-07-29 21:54:48.849616,0.079,anonymization,1000
2024-07-29 21:54:48.850901,2024-07-29 21:54:50.903825,2.053,saving,1000
2024-07-29 21:55:20.935798,2024-07-29 21:55:20.985781,0.050,anonymization,1000
2024-07-29 21:55:20.986418,2024-07-29 21:55:22.767509,1.781,saving,1000
2024-07-29 21:55:52.800436,2024-07-29 21:55:52.835550,0.035,anonymization,1000
2024-07-29 21:55:52.836160,2024-07-29 21:55:54.288576,1.452,saving,1000
2024-07-29 21:56:24.316694,2024-07-29 21:56:24.348414,0.032,anonymization,1000
2024-07-29 21:56:24.348815,2024-07-29 21:56:25.884174,1.536,saving,1000
2024-07-29 21:56:55.911261,2024-07-29 21:56:55.944271,0.033,anonymization,1000
2024-07-29 21:56:55.944708,2024-07-29 21:56:57.467151,1.523,saving,1000
2024-07-29 21:57:27.496349,2024-07-29 21:57:27.530707,0.034,anonymization,1000
2024-07-29 21:57:27.531150,2024-07-29 21:57:29.319197,1.788,saving,1000
2024-07-29 21:57:59.349748,2024-07-29 21:57:59.381033,0.032,anonymization,1000
2024-07-29 21:57:59.381662,2024-07-29 21:58:00.728120,1.347,saving,1000
2024-07-29 21:58:30.756755,2024-07-29 21:58:30.785295,0.029,anonymization,1000
2024-07-29 21:58:30.785864,2024-07-29 21:58:32.125393,1.340,saving,1000
2024-07-29 21:59:02.153591,2024-07-29 21:59:02.194231,0.041,anonymization,1000
2024-07-29 21:59:02.194843,2024-07-29 21:59:03.499214,1.305,saving,1000
2024-07-29 21:59:33.525646,2024-07-29 21:59:33.554505,0.029,anonymization,1000
2024-07-29 21:59:33.555083,2024-07-29 21:59:34.835005,1.280,saving,1000
2024-07-29 22:00:04.900421,2024-07-29 22:00:05.166030,0.266,anonymization,10000
2024-07-29 22:00:05.170020,2024-07-29 22:00:20.629759,15.459,saving,10000
2024-07-29 22:00:50.729542,2024-07-29 22:00:50.946380,0.217,anonymization,10000
2024-07-29 22:00:50.951195,2024-07-29 22:01:05.502876,14.551,saving,10000
2024-07-29 22:01:35.570238,2024-07-29 22:01:35.778468,0.208,anonymization,10000
2024-07-29 22:01:35.782316,2024-07-29 22:01:50.660397,14.878,saving,10000
2024-07-29 22:05:32.039703,2024-07-29 22:05:32.250656,0.211,anonymization,10000
2024-07-29 22:05:32.254932,2024-07-29 22:05:47.595191,15.341,saving,10000
2024-07-29 22:06:17.658682,2024-07-29 22:06:17.860583,0.202,anonymization,10000
2024-07-29 22:06:17.864427,2024-07-29 22:06:32.827731,14.963,saving,10000
2024-07-29 22:07:02.900240,2024-07-29 22:07:03.106104,0.206,anonymization,10000
2024-07-29 22:07:03.107865,2024-07-29 22:07:17.922372,14.815,saving,10000
2024-07-29 22:07:47.984959,2024-07-29 22:07:48.178074,0.194,anonymization,10000
2024-07-29 22:07:48.180117,2024-07-29 22:08:01.829222,13.649,saving,10000
2024-07-29 22:08:31.883412,2024-07-29 22:08:32.116375,0.233,anonymization,10000
2024-07-29 22:08:32.118188,2024-07-29 22:08:46.700753,14.582,saving,10000
2024-07-29 22:09:16.765780,2024-07-29 22:09:16.972320,0.207,anonymization,10000
2024-07-29 22:09:16.973772,2024-07-29 22:09:31.631468,14.658,saving,10000
2024-07-29 22:10:01.691529,2024-07-29 22:10:01.877940,0.186,anonymization,10000
2024-07-29 22:10:01.880682,2024-07-29 22:10:16.287257,14.407,saving,10000
