startTime,endTime,latency,operation,recordCount
2024-07-30 08:18:05.785742,2024-07-30 08:18:05.988640,0.203,anonymization,100
2024-07-30 08:18:05.989588,2024-07-30 08:18:06.482154,0.493,saving,100
2024-07-30 08:18:36.553242,2024-07-30 08:18:36.590952,0.037,anonymization,100
2024-07-30 08:18:36.591147,2024-07-30 08:18:36.938694,0.347,saving,100
2024-07-30 08:19:06.965982,2024-07-30 08:19:06.988322,0.023,anonymization,100
2024-07-30 08:19:06.988552,2024-07-30 08:19:07.280432,0.292,saving,100
2024-07-30 08:19:37.303857,2024-07-30 08:19:37.320570,0.017,anonymization,100
2024-07-30 08:19:37.320734,2024-07-30 08:19:37.633081,0.313,saving,100
2024-07-30 08:20:07.654834,2024-07-30 08:20:07.672396,0.018,anonymization,100
2024-07-30 08:20:07.672561,2024-07-30 08:20:07.923677,0.251,saving,100
2024-07-30 08:20:37.946054,2024-07-30 08:20:37.958506,0.012,anonymization,100
2024-07-30 08:20:37.958654,2024-07-30 08:20:38.255813,0.297,saving,100
2024-07-30 08:21:08.278540,2024-07-30 08:21:08.292925,0.014,anonymization,100
2024-07-30 08:21:08.293075,2024-07-30 08:21:08.547865,0.254,saving,100
2024-07-30 08:21:38.568788,2024-07-30 08:21:38.581093,0.013,anonymization,100
2024-07-30 08:21:38.581245,2024-07-30 08:21:38.806285,0.225,saving,100
2024-07-30 08:22:08.827200,2024-07-30 08:22:08.838737,0.011,anonymization,100
2024-07-30 08:22:08.838870,2024-07-30 08:22:09.064057,0.226,saving,100
2024-07-30 08:22:39.088034,2024-07-30 08:22:39.100605,0.012,anonymization,100
2024-07-30 08:22:39.100735,2024-07-30 08:22:39.318743,0.218,saving,100
2024-07-30 08:23:09.345548,2024-07-30 08:23:09.442516,0.097,anonymization,1000
2024-07-30 08:23:09.443851,2024-07-30 08:23:11.579564,2.136,saving,1000
2024-07-30 08:23:41.613058,2024-07-30 08:23:41.698300,0.085,anonymization,1000
2024-07-30 08:23:41.699050,2024-07-30 08:23:43.356972,1.657,saving,1000
2024-07-30 08:24:13.386188,2024-07-30 08:24:13.431270,0.045,anonymization,1000
2024-07-30 08:24:13.431837,2024-07-30 08:24:15.017789,1.586,saving,1000
2024-07-30 08:24:45.043584,2024-07-30 08:24:45.078796,0.035,anonymization,1000
2024-07-30 08:24:45.079418,2024-07-30 08:24:46.632654,1.553,saving,1000
2024-07-30 08:25:16.657439,2024-07-30 08:25:16.693990,0.036,anonymization,1000
2024-07-30 08:25:16.694632,2024-07-30 08:25:18.240500,1.546,saving,1000
2024-07-30 08:25:48.270484,2024-07-30 08:25:48.302658,0.032,anonymization,1000
2024-07-30 08:25:48.303326,2024-07-30 08:25:49.767766,1.464,saving,1000
2024-07-30 08:26:19.793791,2024-07-30 08:26:19.830399,0.037,anonymization,1000
2024-07-30 08:26:19.830997,2024-07-30 08:26:21.224221,1.394,saving,1000
2024-07-30 08:26:51.249150,2024-07-30 08:26:51.275703,0.026,anonymization,1000
2024-07-30 08:26:51.276325,2024-07-30 08:26:52.617286,1.341,saving,1000
2024-07-30 08:27:22.642870,2024-07-30 08:27:22.670948,0.028,anonymization,1000
2024-07-30 08:27:22.671569,2024-07-30 08:27:24.051808,1.380,saving,1000
2024-07-30 08:27:54.075605,2024-07-30 08:27:54.102783,0.027,anonymization,1000
2024-07-30 08:27:54.103394,2024-07-30 08:27:55.429724,1.326,saving,1000
2024-07-30 08:28:25.502752,2024-07-30 08:28:25.778391,0.276,anonymization,10000
2024-07-30 08:28:25.783153,2024-07-30 08:28:41.674386,15.891,saving,10000
2024-07-30 08:29:11.766040,2024-07-30 08:29:12.026392,0.260,anonymization,10000
2024-07-30 08:29:12.031338,2024-07-30 08:29:27.184719,15.153,saving,10000
2024-07-30 08:29:57.248394,2024-07-30 08:29:57.453247,0.205,anonymization,10000
2024-07-30 08:29:57.457325,2024-07-30 08:30:12.679932,15.222,saving,10000
2024-07-30 08:30:42.743967,2024-07-30 08:30:42.929554,0.186,anonymization,10000
2024-07-30 08:30:42.933682,2024-07-30 08:30:57.360921,14.427,saving,10000
2024-07-30 08:31:27.426650,2024-07-30 08:31:27.630014,0.204,anonymization,10000
2024-07-30 08:31:27.634213,2024-07-30 08:31:41.540490,13.906,saving,10000
2024-07-30 08:32:11.603693,2024-07-30 08:32:11.795357,0.192,anonymization,10000
2024-07-30 08:32:11.797480,2024-07-30 08:32:25.785619,13.988,saving,10000
2024-07-30 08:32:55.840615,2024-07-30 08:32:56.020438,0.180,anonymization,10000
2024-07-30 08:32:56.022551,2024-07-30 08:33:10.399929,14.377,saving,10000
2024-07-30 08:33:40.458897,2024-07-30 08:33:40.702475,0.244,anonymization,10000
2024-07-30 08:33:40.703909,2024-07-30 08:33:55.528175,14.825,saving,10000
2024-07-30 08:34:25.587260,2024-07-30 08:34:25.770167,0.183,anonymization,10000
2024-07-30 08:34:25.771609,2024-07-30 08:34:41.246011,15.475,saving,10000
2024-07-30 08:35:11.306731,2024-07-30 08:35:11.498622,0.192,anonymization,10000
2024-07-30 08:35:11.501432,2024-07-30 08:35:25.951153,14.450,saving,10000
