start_time,end_time,duration_seconds,record_count,transactions_per_second,latency_ms,metrics_latency_ms
2024-07-29 07:24:00.293579 +0000 UTC m=+0.293579,2024-07-29 07:24:00.295213 +0000 UTC m=+0.295213,0.001634,100,61199.51040391677,1.6340000000000001,6.2379999999999995
2024-07-29 07:24:10.328019 +0000 UTC m=+10.328019,2024-07-29 07:24:10.329372 +0000 UTC m=+10.329372,0.001353,300,221729.49002217295,1.353,5.8500000000000005
2024-07-29 07:24:20.361728 +0000 UTC m=+20.361728,2024-07-29 07:24:20.363180 +0000 UTC m=+20.363180,0.001452,500,344352.6170798898,1.452,6.198
2024-07-29 07:24:30.396145 +0000 UTC m=+30.396145,2024-07-29 07:24:30.397851 +0000 UTC m=+30.397851,0.001706,700,410316.52989449,1.706,6.499
2024-07-29 07:24:40.431977 +0000 UTC m=+40.431977,2024-07-29 07:24:40.433618 +0000 UTC m=+40.433618,0.001641,900,548446.0694698354,1.641,6.236000000000001
2024-07-29 07:24:50.466755 +0000 UTC m=+50.466755,2024-07-29 07:24:50.468180 +0000 UTC m=+50.468180,0.001425,100,70175.43859649122,1.425,6.021999999999999
2024-07-29 07:25:00.501077 +0000 UTC m=+0.501077,2024-07-29 07:25:00.502356 +0000 UTC m=+0.502356,0.001279,300,234558.24863174357,1.279,5.942
2024-07-29 07:25:10.534791 +0000 UTC m=+10.534791,2024-07-29 07:25:10.536207 +0000 UTC m=+10.536207,0.001416,500,353107.34463276836,1.416,6.446999999999999
2024-07-29 07:25:20.569858 +0000 UTC m=+20.569858,2024-07-29 07:25:20.571481 +0000 UTC m=+20.571481,0.001623,700,431300.0616142945,1.623,6.229
2024-07-29 07:25:30.605559 +0000 UTC m=+30.605559,2024-07-29 07:25:30.607263 +0000 UTC m=+30.607263,0.001704,900,528169.014084507,1.704,6.146999999999999
2024-07-29 07:25:40.637603 +0000 UTC m=+40.637603,2024-07-29 07:25:40.638916 +0000 UTC m=+40.638916,0.001313,100,76161.46230007616,1.313,5.7
2024-07-29 07:25:50.671561 +0000 UTC m=+50.671561,2024-07-29 07:25:50.673089 +0000 UTC m=+50.673089,0.001528,212,138743.45549738218,1.528,5.934
2024-07-29 07:26:00.706687 +0000 UTC m=+0.706687,2024-07-29 07:26:00.708321 +0000 UTC m=+0.708321,0.001634,400,244798.04161566708,1.6340000000000001,6.076
2024-07-29 07:26:10.741350 +0000 UTC m=+10.741350,2024-07-29 07:26:10.742828 +0000 UTC m=+10.742828,0.001478,600,405953.9918809202,1.478,6.126
2024-07-29 07:26:20.775942 +0000 UTC m=+20.775942,2024-07-29 07:26:20.777541 +0000 UTC m=+20.777541,0.001599,800,500312.6954346467,1.599,6.222
2024-07-29 07:26:30.811001 +0000 UTC m=+30.811001,2024-07-29 07:26:30.812854 +0000 UTC m=+30.812854,0.001853,1000,539665.4074473826,1.853,6.101999999999999
2024-07-29 07:26:40.846238 +0000 UTC m=+40.846238,2024-07-29 07:26:40.848805 +0000 UTC m=+40.848805,0.002567,2000,779119.5948578108,2.5669999999999997,6.684
2024-07-29 07:26:50.883730 +0000 UTC m=+50.883730,2024-07-29 07:26:50.888200 +0000 UTC m=+50.888200,0.00447,4000,894854.586129754,4.47,8.487
2024-07-29 07:27:00.925078 +0000 UTC m=+0.925078,2024-07-29 07:27:00.929336 +0000 UTC m=+0.929336,0.004258,5000,1174260.21606388,4.258,7.645
2024-07-29 07:27:10.965645 +0000 UTC m=+10.965645,2024-07-29 07:27:10.972037 +0000 UTC m=+10.972037,0.006392,7000,1095118.898623279,6.392,8.498999999999999
2024-07-29 07:27:21.009786 +0000 UTC m=+21.009786,2024-07-29 07:27:21.016765 +0000 UTC m=+21.016765,0.006979,9000,1289583.034818742,6.979,8.971
2024-07-29 07:27:31.055060 +0000 UTC m=+31.055060,2024-07-29 07:27:31.062270 +0000 UTC m=+31.062270,0.00721,10000,1386962.5520110957,7.21,10.1
2024-07-29 07:27:41.104177 +0000 UTC m=+41.104177,2024-07-29 07:27:41.106914 +0000 UTC m=+41.106914,0.002737,2000,730727.073438071,2.7369999999999997,6.485
2024-07-29 07:27:51.141470 +0000 UTC m=+51.141470,2024-07-29 07:27:51.145243 +0000 UTC m=+51.145243,0.003773,4000,1060164.325470448,3.7729999999999997,7.4799999999999995
2024-07-29 07:28:01.182017 +0000 UTC m=+1.182017,2024-07-29 07:28:01.187112 +0000 UTC m=+1.187112,0.005095,5152,1011187.4386653582,5.095,8.005999999999998
2024-07-29 07:28:11.224525 +0000 UTC m=+11.224525,2024-07-29 07:28:11.230100 +0000 UTC m=+11.230100,0.005575,7000,1255605.3811659194,5.575,8.706999999999999
2024-07-29 07:28:21.268482 +0000 UTC m=+21.268482,2024-07-29 07:28:21.275197 +0000 UTC m=+21.275197,0.006715,9000,1340282.948622487,6.715,9.895
2024-07-29 07:28:31.315474 +0000 UTC m=+31.315474,2024-07-29 07:28:31.318685 +0000 UTC m=+31.318685,0.003211,570,177514.7928994083,3.211,6.218
2024-07-29 07:28:41.352991 +0000 UTC m=+41.352991,2024-07-29 07:28:41.355526 +0000 UTC m=+41.355526,0.002535,2000,788954.6351084813,2.535,6.731
2024-07-29 07:28:51.389634 +0000 UTC m=+51.389634,2024-07-29 07:28:51.394085 +0000 UTC m=+51.394085,0.004451,4000,898674.4551786116,4.4510000000000005,7.705
2024-07-29 07:29:01.430979 +0000 UTC m=+1.430979,2024-07-29 07:29:01.436350 +0000 UTC m=+1.436350,0.005371,5742,1069074.660212251,5.3709999999999996,8.08
2024-07-29 07:29:11.472882 +0000 UTC m=+11.472882,2024-07-29 07:29:11.478489 +0000 UTC m=+11.478489,0.005607,7000,1248439.4506866417,5.607,8.595
2024-07-29 07:29:21.513374 +0000 UTC m=+21.513374,2024-07-29 07:29:21.520258 +0000 UTC m=+21.520258,0.006884,9000,1307379.4305636256,6.884,9.115
2024-07-29 07:29:31.558982 +0000 UTC m=+31.558982,2024-07-29 07:29:31.562271 +0000 UTC m=+31.562271,0.003289,1000,304043.78230465186,3.2889999999999997,6.415
2024-07-29 07:29:41.596574 +0000 UTC m=+41.596574,2024-07-29 07:29:41.599083 +0000 UTC m=+41.599083,0.002509,2000,797130.3308090873,2.509,6.643
2024-07-29 07:29:51.633906 +0000 UTC m=+51.633906,2024-07-29 07:29:51.656315 +0000 UTC m=+51.656315,0.022409,4000,178499.70993797138,22.409,7.181
2024-07-29 07:30:01.691697 +0000 UTC m=+1.691697,2024-07-29 07:30:01.696587 +0000 UTC m=+1.696587,0.00489,6000,1226993.8650306747,4.890000000000001,8.504
2024-07-29 07:30:11.734847 +0000 UTC m=+11.734847,2024-07-29 07:30:11.741203 +0000 UTC m=+11.741203,0.006356,7000,1101321.5859030837,6.356,8.693
2024-07-29 07:30:21.779687 +0000 UTC m=+21.779687,2024-07-29 07:30:21.787483 +0000 UTC m=+21.787483,0.007796,9000,1154438.173422268,7.796,9.207999999999998
2024-07-29 07:30:31.826294 +0000 UTC m=+31.826294,2024-07-29 07:30:31.829448 +0000 UTC m=+31.829448,0.003154,1000,317057.7045022194,3.154,6.245
2024-07-29 07:30:41.863055 +0000 UTC m=+41.863055,2024-07-29 07:30:41.865294 +0000 UTC m=+41.865294,0.002239,2000,893255.9178204555,2.2390000000000003,6.585
2024-07-29 07:30:51.900591 +0000 UTC m=+51.900591,2024-07-29 07:30:51.904621 +0000 UTC m=+51.904621,0.00403,4000,992555.8312655088,4.029999999999999,7.242
2024-07-29 07:31:01.940359 +0000 UTC m=+1.940359,2024-07-29 07:31:01.946341 +0000 UTC m=+1.946341,0.005982,6000,1003009.0270812437,5.982,8.444999999999999
2024-07-29 07:31:11.983775 +0000 UTC m=+11.983775,2024-07-29 07:31:11.990209 +0000 UTC m=+11.990209,0.006434,7343,1141280.6963009015,6.433999999999999,8.894
2024-07-29 07:31:22.022712 +0000 UTC m=+22.022712,2024-07-29 07:31:22.029534 +0000 UTC m=+22.029534,0.006822,9000,1319261.2137203165,6.822,9.402000000000001
2024-07-29 07:31:32.068810 +0000 UTC m=+32.068810,2024-07-29 07:31:32.071988 +0000 UTC m=+32.071988,0.003178,1000,314663.3102580239,3.178,6.3870000000000005
2024-07-29 07:31:42.106690 +0000 UTC m=+42.106690,2024-07-29 07:31:42.109437 +0000 UTC m=+42.109437,0.002747,2570,935566.0720786313,2.747,7.127
