start_time,end_time,duration_seconds,record_count,transactions_per_second,latency_ms,transaction_type
2024-07-28 23:08:46.629039 +0000 UTC m=+46.629039,2024-07-28 23:08:57.303574 +0000 UTC m=+57.303574,10.674535,10000,936.8089570177998,10674.535,insertion
2024-07-28 23:09:02.308950 +0000 UTC m=+2.308950,2024-07-28 23:09:13.147955 +0000 UTC m=+13.147955,10.839005,10000,922.593909680824,10839.005000000001,insertion
2024-07-28 23:09:18.153303 +0000 UTC m=+18.153303,2024-07-28 23:09:28.104844 +0000 UTC m=+28.104844,9.951541,10000,1004.8694970959773,9951.541000000001,insertion
2024-07-28 23:09:33.110196 +0000 UTC m=+33.110196,2024-07-28 23:09:43.156006 +0000 UTC m=+43.156006,10.04581,10000,995.4398898645306,10045.81,insertion
2024-07-28 23:09:48.161369 +0000 UTC m=+48.161369,2024-07-28 23:09:58.076957 +0000 UTC m=+58.076957,9.915588,10000,1008.5130604458354,9915.588,insertion
2024-07-28 23:10:03.082304 +0000 UTC m=+3.082304,2024-07-28 23:10:13.411487 +0000 UTC m=+13.411487,10.329183,10000,968.1307805273659,10329.183,insertion
2024-07-28 23:10:18.416890 +0000 UTC m=+18.416890,2024-07-28 23:10:28.479887 +0000 UTC m=+28.479887,10.062997,10000,993.7397377739455,10062.997,insertion
2024-07-28 23:10:33.485225 +0000 UTC m=+33.485225,2024-07-28 23:10:43.654223 +0000 UTC m=+43.654223,10.168998,10000,983.3810568160206,10168.998,insertion
2024-07-28 23:10:48.659648 +0000 UTC m=+48.659648,2024-07-28 23:10:48.769272 +0000 UTC m=+48.769272,0.109624,10000,91220.90053273005,109.624,deletion
2024-07-28 23:10:48.769742 +0000 UTC m=+48.769742,2024-07-28 23:10:58.624046 +0000 UTC m=+58.624046,9.854303999999999,10000,1014.78501170656,9854.303999999998,insertion
2024-07-28 23:11:03.629356 +0000 UTC m=+3.629356,2024-07-28 23:11:13.457076 +0000 UTC m=+13.457076,9.82772,10000,1017.5300069599053,9827.72,insertion
2024-07-28 23:11:18.462451 +0000 UTC m=+18.462451,2024-07-28 23:11:28.215160 +0000 UTC m=+28.215160,9.752709,10000,1025.3561343827648,9752.708999999999,insertion
2024-07-28 23:11:33.220530 +0000 UTC m=+33.220530,2024-07-28 23:11:43.741889 +0000 UTC m=+43.741889,10.521359,10000,950.4475610042391,10521.359,insertion
2024-07-28 23:11:48.747240 +0000 UTC m=+48.747240,2024-07-28 23:11:59.164393 +0000 UTC m=+59.164393,10.417153,10000,959.9551816124808,10417.153,insertion
2024-07-28 23:12:04.169846 +0000 UTC m=+4.169846,2024-07-28 23:12:14.859817 +0000 UTC m=+14.859817,10.689971,10000,935.456232762465,10689.971,insertion
